               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.028286,            0.043452,            0.002558,             0.87301,             0.78037,             0.80176,             0.52662,            0.023753,            0.039259,           0.0017508,            0.003862,            0.003862,            0.003862
                  64,            0.028076,             0.04405,           0.0027496,              0.8972,             0.76868,             0.81287,             0.53695,            0.023689,            0.038995,           0.0016079,            0.003763,            0.003763,            0.003763
                  65,            0.028004,            0.043585,           0.0030948,             0.87532,             0.78959,             0.81427,             0.53252,            0.023681,             0.03981,           0.0016476,            0.003664,            0.003664,            0.003664
                  66,            0.027884,            0.043219,           0.0026961,             0.90247,             0.76937,             0.81597,             0.54179,            0.023439,            0.038212,           0.0015345,            0.003565,            0.003565,            0.003565
                  67,            0.027589,            0.042491,           0.0026748,             0.89752,             0.78504,             0.82329,             0.54702,             0.02331,             0.03824,           0.0015052,            0.003466,            0.003466,            0.003466
                  68,            0.027477,            0.043779,           0.0026805,             0.91257,             0.77078,             0.83158,             0.55379,            0.023232,            0.037946,           0.0015488,            0.003367,            0.003367,            0.003367
                  69,            0.027394,            0.043072,           0.0028181,             0.90596,             0.79399,              0.8326,             0.55774,            0.022968,            0.037413,           0.0014771,            0.003268,            0.003268,            0.003268
                  70,            0.027128,            0.042251,           0.0025371,             0.92131,             0.77813,             0.83104,             0.55697,            0.022897,            0.037273,           0.0013868,            0.003169,            0.003169,            0.003169
                  71,            0.026919,            0.043119,           0.0024019,             0.91108,             0.79608,             0.84888,              0.5691,            0.022778,            0.037287,            0.001384,             0.00307,             0.00307,             0.00307
                  72,            0.027069,            0.042611,           0.0024209,             0.91156,              0.7859,             0.83929,             0.56552,            0.022678,            0.036975,           0.0013722,            0.002971,            0.002971,            0.002971
                  73,            0.026791,            0.042417,            0.002314,             0.91502,             0.79546,             0.84507,             0.57188,            0.022499,            0.036716,           0.0013486,            0.002872,            0.002872,            0.002872
                  74,            0.026737,            0.042589,           0.0024762,             0.92415,             0.78475,             0.83768,             0.56573,            0.022503,             0.03636,           0.0013286,            0.002773,            0.002773,            0.002773
                  75,            0.026647,            0.042342,           0.0025252,             0.91219,             0.79454,             0.84908,             0.57875,            0.022338,            0.036689,           0.0013048,            0.002674,            0.002674,            0.002674
                  76,            0.026655,            0.041888,           0.0022663,              0.9343,             0.78489,             0.85085,             0.57806,            0.022259,            0.035992,           0.0012685,            0.002575,            0.002575,            0.002575
                  77,            0.026241,            0.041032,           0.0022573,             0.92842,               0.795,             0.85643,             0.58511,            0.022196,            0.035581,           0.0013204,            0.002476,            0.002476,            0.002476
                  78,            0.026304,            0.040915,           0.0021292,             0.92449,             0.80519,             0.85188,             0.58417,            0.021951,            0.035357,           0.0012283,            0.002377,            0.002377,            0.002377
                  79,            0.026222,            0.041491,           0.0023632,             0.93102,             0.81107,             0.86636,             0.59854,            0.021823,            0.035061,           0.0012717,            0.002278,            0.002278,            0.002278
                  80,            0.025949,            0.040176,           0.0022442,             0.93225,             0.79951,             0.86613,             0.60067,            0.021767,            0.034914,           0.0012279,            0.002179,            0.002179,            0.002179
                  81,            0.025779,            0.040822,           0.0021115,             0.93926,             0.80617,              0.8673,             0.60077,            0.021774,            0.034685,           0.0011616,             0.00208,             0.00208,             0.00208
                  82,            0.025719,            0.040129,           0.0020171,             0.93426,             0.80641,             0.86267,             0.60326,            0.021448,            0.034422,            0.001148,            0.001981,            0.001981,            0.001981
                  83,            0.025786,            0.041573,           0.0021158,             0.93354,             0.81537,              0.8762,              0.6118,            0.021376,            0.034375,           0.0010738,            0.001882,            0.001882,            0.001882
                  84,            0.025371,            0.039609,           0.0019923,             0.93652,             0.81323,             0.88051,             0.61452,            0.021375,            0.034124,           0.0011094,            0.001783,            0.001783,            0.001783
                  85,            0.025613,            0.040464,           0.0019405,             0.94469,              0.8043,             0.87916,             0.61587,            0.021222,            0.033812,           0.0010752,            0.001684,            0.001684,            0.001684
                  86,            0.025249,            0.040054,           0.0020153,             0.94597,             0.80832,             0.88632,             0.62354,            0.021006,            0.033535,           0.0010898,            0.001585,            0.001585,            0.001585
                  87,            0.025161,            0.039765,           0.0019361,             0.94714,             0.81664,             0.86948,             0.61309,            0.020951,            0.033325,           0.0010936,            0.001486,            0.001486,            0.001486
                  88,            0.025193,            0.039095,           0.0019505,             0.93545,             0.82073,             0.88398,             0.62864,              0.0209,            0.033216,            0.001027,            0.001387,            0.001387,            0.001387
                  89,             0.02505,            0.039345,           0.0018615,             0.94429,               0.821,             0.89612,             0.63577,            0.020737,            0.033193,           0.0010196,            0.001288,            0.001288,            0.001288
                  90,            0.024761,            0.038974,           0.0019229,             0.94969,             0.81213,             0.88824,             0.63241,            0.020637,            0.032931,          0.00099864,            0.001189,            0.001189,            0.001189
                  91,            0.024923,            0.039064,           0.0019603,             0.94427,             0.82591,             0.89384,             0.63409,            0.020554,             0.03293,          0.00097822,             0.00109,             0.00109,             0.00109
                  92,            0.024814,            0.039191,           0.0018523,             0.96039,             0.81346,             0.90741,             0.64659,            0.020367,            0.032318,          0.00096201,            0.000991,            0.000991,            0.000991
                  93,            0.024706,            0.038523,           0.0017662,             0.95067,             0.81852,             0.89795,             0.64365,            0.020314,            0.032084,          0.00096489,            0.000892,            0.000892,            0.000892
                  94,            0.024601,            0.038827,           0.0019323,             0.96026,              0.8138,             0.89414,             0.64075,            0.020248,            0.032069,          0.00098034,            0.000793,            0.000793,            0.000793
                  95,            0.024657,            0.038393,           0.0018542,             0.95645,             0.81484,             0.89752,             0.64489,            0.020234,            0.032129,          0.00095601,            0.000694,            0.000694,            0.000694
                  96,            0.023929,            0.037676,           0.0017916,             0.95988,             0.82065,              0.9075,             0.65428,            0.020063,             0.03165,          0.00093251,            0.000595,            0.000595,            0.000595
                  97,            0.024268,             0.03817,           0.0017107,             0.95645,              0.8222,             0.90791,             0.65261,            0.020033,            0.031689,          0.00092071,            0.000496,            0.000496,            0.000496
                  98,            0.024051,            0.037504,           0.0018221,             0.95856,             0.82449,             0.90266,             0.65384,            0.019871,            0.031195,          0.00091296,            0.000397,            0.000397,            0.000397
                  99,            0.023996,            0.036922,           0.0018147,             0.95935,             0.82191,             0.91017,             0.65855,            0.019893,            0.031359,          0.00091845,            0.000298,            0.000298,            0.000298
